Key,分诊主类,子类,类别说明,根因/处置,摘要,功能模块,频次,严重度,状态,报告人,创建,更新,复现步骤全文,最新注释,评论数,全部评论,链接
DNA-2805,A,A,推理·该调工具未调(假成功),结束导航 director未调用工具直接返回,【0705_275】【路试】车辆行驶中语音指令结束导航失败，TTS播报语音方式始终没能成功结束导航,语音控制,必现,B,DRAFT,Gao Yuan 高源,2026-07-06,2026-07-08,"前提说明：车辆正常行驶中，导航在前台运行。
步骤描述：行驶过程中，发出语音指令：结束导航
期望结果：正常执行指令，退出当前导航。
实际结果：TTS回复：语音方式始终没能成功结束导航
测试时间：2026年7月5日12：07
ZXD版本：IS4PDU6001G07012
M核版本：IS4P600100
豆包版本：202606300818
日志链接：[链接]","director 没有调用工具，直接返回了
[图]",2,"Gao Yuan 高源（2026-07-08）：ZXD版本IS4PDU6001G07041

M核版本IS4P600102

豆包版本：202607070934

复测不通过
---
Yu Mingming 余明明（2026-07-08）：director 没有调用工具，直接返回了
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2805
DNA-2792,A,A,推理·该调工具未调(假成功),中控锁解锁 action_list为空,"【0704_253】【路试】行驶中，门锁已上锁，语音输入“中控锁解锁”，TTS""解锁失败了”，未执行解锁操作",汽车大师,必现,B,DRAFT,刘吉琳-DNA,2026-07-04,2026-07-11,"步骤：中控锁上锁，语音输入“解锁中控锁”
期望：解锁成功
实际：未执行成功
时间：2026.7.4 12:03
ZXD:IS4PDD6001G07011
MCU:IS4P600100
豆包：202607030731",[~pwhcoy] 泽民辛苦看一下，logID：20260704120415C3972A728321A884B171，action_list为空,1,Fan Xiaotian 樊晓天（2026-07-11）：[~pwhcoy] 泽民辛苦看一下，logID：20260704120415C3972A728321A884B171，action_list为空,http://jira.z-onesoftware.com:8080/browse/DNA-2792
DNA-2788,A,A,推理·该调工具未调(假成功),打开AI驾驶报告 action_list为空,【0704_253】【路试】语音输入“打开AI 驾驶报告”，TTS回复未授权，实际授权页面未展示AI 驾驶报告的授权选项,汽车大师,必现,B,DRAFT,刘吉琳-DNA,2026-07-04,2026-07-11,"步骤：语音输入“打开AI 驾驶报告”
期望：能打开应用
实际：TTS播报未授权
时间：2026.7.4 11:25
ZXD:IS4PDD6001G07011
MCU:IS4P600100
豆包：202607030731",[~pwhcoy] 泽民，action_list为空，logid：20260704111513DCBED44EAE578B9FB4B9,2,"Wu Han 吴函（2026-07-08）：复测结果：失败，还是tts回复出现未授权无法生成ai驾驶报告
ZXD版本：IS4PDU6001G07041
M核版本：IS4P600102
豆包版本：202607030713
视频与日志： [^ai驾驶报告未授权.mp4] [^logs.zip]
---
Fan Xiaotian 樊晓天（2026-07-11）：[~pwhcoy] 泽民，action_list为空，logid：20260704111513DCBED44EAE578B9FB4B9",http://jira.z-onesoftware.com:8080/browse/DNA-2788
DNA-2626,A,A,推理·该调工具未调(假成功),关人脸识别开关 未下发fc,"【账号】【6.0.1】手动取消关闭人脸识别开关，语音输入""关闭人脸识别登陆开关/注销人脸识别""，车机回复“人脸识别登陆开关已经是关闭状态了”",语音控制,必现,B,DRAFT,马静-IC,2026-06-30,2026-07-09,"日志同：DNA-2610

【前置条件】
登录车主账号，RUN,非P档,车机侧链接wifi，人脸识别开关是打开状态
【操作步骤】
1.语音输入""关闭人脸识别开关""，出现关闭确认弹窗后，点击取消，再语音输入“关闭人脸识别开关”
【期望结果】
1出现关闭确认弹窗
【实际结果】
再语音输入“关闭人脸识别开关”，语音回复“人脸识别开关已经是关闭状态了”，但是开关依旧是打开的
【发生时间】
2026/6/30——1407
版本信息：IS4PDU6001G06281
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级","[~pwhcoy]
20260630140646F33654601007741E2C78未下发fc",4,"Xu Ran 徐燃（2026-07-02）：没有该需求，如有质疑，可以详询上汽产品-天时，或者字节产品-吴仁杰；[~vueqsj]
---
马静-IC（2026-07-07）：帮忙和我们产品对接，看下是否有此需求 [~wmcguv]
---
孙天时-IR（2026-07-08）：见链接，章节6.1.4.2:[[链接]

有此需求
---
Yang Zhongyu 杨忠谕（2026-07-09）：[~pwhcoy]
20260630140646F33654601007741E2C78未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-2626
DNA-2620,A,A,推理·该调工具未调(假成功),播放许巍专辑 TTS假成功未执行,【语音】【语音控制多媒体】网易云在播放中，语音指令：“播放许巍的专辑《那一年》”，TTS回复在播放了，实际未播放,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-30,2026-07-01,"步骤描述：播放网易云，语音指令：”播放许巍的专辑《那一年》“
期望结果：播放此歌曲
实际结果：TTS回复在播放了，实际还在播放之前的歌曲
版本：IS4PDU6001G06291
MCU：IS4P600000
问题发生时间：0630 14：32",[图][~pwhcoy],2,"Tian Gaolin 田高琳（2026-07-01）：202606301431560722FA7F9212F410A778
director 未调用车控工具
---
Tian Gaolin 田高琳（2026-07-01）：[图][~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2620
DNA-2617,A,A,推理·该调工具未调(假成功),播放内容错 未调用工具,【语音】【语音控制多媒体】语音指令：“播放中国好声音第二季的歌曲”，搜索到了歌曲但是播放内容错误,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-30,2026-07-02,"步骤描述：语音指令：”播放中国好声音第二季的歌曲“
期望结果：搜索并播放中国好声音第二季的歌曲
实际结果：播放的歌曲错误
版本：IS4PDU6001G06291
MCU：IS4P600000
问题发生时间：0630 14：35","20260630143528163F7C5B3154A69DF80C
未调用工具
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-02）：20260630143528163F7C5B3154A69DF80C
未调用工具
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2617
DNA-2613,A,A,推理·该调工具未调(假成功),打开播放列表 未调用车控/端状态误判,【语音】【语音控制多媒体】酷我音乐正在播放，语音指令“打开播放列表“，无法打开播放列表,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-01,"步骤描述：酷我音乐正在播放，语音指令“打开播放列表”
期望结果：打开播放列表
实际结果：目前没有正在播放的内容，无法打开播放列表
版本：IS4PDU6001G06291
问题发生时间：0630 10：17","20260630101739BD61428A4E3EF793FEAE

director 未调用车控工具
[图]
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：20260630101739BD61428A4E3EF793FEAE

director 未调用车控工具
[图]
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2613
DNA-2611,A,A,推理·该调工具未调(假成功),打开自建歌单 未调用车控,【语音】【语音控制多媒体】酷我音乐正在播放，语音指令“打开自建歌单“，此功能不可用,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-01,"步骤描述：酷我音乐正在播放，语音指令“打开自建歌单”
期望结果：打开自建歌单
实际结果：无法打开自建歌单，此功能不能使用
版本：IS4PDU6001G06291
问题发生时间：0630 09：42","[图]

 director 未调用车控工具

[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

 director 未调用车控工具

[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2611
DNA-2607,A,A,推理·该调工具未调(假成功),打开酷我 未调用车控,【语音】【语音控制多媒体】酷我音乐在后台，语音指令“打开酷我音乐“，未打开酷我音乐,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-01,"步骤描述：酷我音乐在后台，语音指令“打开酷我音乐”
期望结果：进入酷我音乐首页
实际结果：未进入酷我音乐首页
版本：IS4PDU6001G06291
问题发生时间：0630 09：57","[图]

20260630095717936E8E79AA03EF1A2199
director 未调用车控工具

[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

20260630095717936E8E79AA03EF1A2199
director 未调用车控工具

[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2607
DNA-2604,A,A,推理·该调工具未调(假成功),重新播放 查端状态却未调车控,【语音】【语音控制多媒体】酷我音乐正在播放，语音指令“重新播放“，未重新播放,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-01,"步骤描述：酷我音乐正在播放，语音指令“重新播放”
期望结果：音乐重新开始播放
实际结果：TTS回复好的，但未执行，进度条没变
版本：IS4PDU6001G06291
问题发生时间：0629 17：30","20260629173042EF3CEFE4807FD2A16723
没有调车控工具, 调的端状态查询工具 , 查询到了当前的歌也没调用车控工具 [~pwhcoy] 

[图]",1,"Tian Gaolin 田高琳（2026-07-01）：20260629173042EF3CEFE4807FD2A16723
没有调车控工具, 调的端状态查询工具 , 查询到了当前的歌也没调用车控工具 [~pwhcoy] 

[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2604
