优先级,序号,项目,名称（详细描述）,Query（用户原始输入）
P0,1,上汽,【上汽DNA】【通用】没有把多媒体的音量恢复,请你把你的音量调低不是多媒体的音量调低
P0,2,上汽,【上汽DNA】【通用】错误理解当前续航和总续航之间的关系,你规划一下我们路上要去几个充电站才能顺利抵达目的地
P0,3,上汽,【上汽DNA】【动态advisor】把创建/删除目标后的内容念出来,我想体验下车里的所有按摩模式
P0,4,上汽,【上汽DNA】【ainavi模块】行程创建的时候未进行分段展示,创建合肥一日游
P0,5,上汽,【上汽DNA】【0611主线发版】我有点热，再给我讲个故事 温度调反了,我有点热，再给我讲个故事
P0,6,上汽,【上汽DNA】【高优验证】【空调】q"风量调高3级"，豆包回复调到了9档，实际调到了8档,语音"风量调高3级"
P0,7,上汽,"【上汽DNA】【AiNavi】【端侧】【点检】【台架】0606tts播报与poi列表显示顺序不一致","【上汽DNA】【AiNavi】【端侧】【点检】【台架】0606tts播报与poi列表显示顺序不一致"
P0,8,上汽,【上汽DNA】【动态advisor】定时任务说完立即执行,【上汽DNA】【动态Advisor】定时任务说完立即执行
P0,9,上汽,"【上汽DNA】【动态advisor】回复会执行，实际任务不创建不执行",10秒后关闭副驾车窗
P0,10,上汽,【上汽DNA】【动态advisor】不能/实际未创建的任务应合理拒绝,【上汽DNA】【动态advisor】不能/实际未创建的任务应合理拒绝
P0,11,上汽,【上汽DNA】【长时任务】删除了长时任务但是任务还在执行,【上汽DNA】【长时任务】删除了长时任务但是任务还在执行
P0,12,上汽,【上汽DNA】【动态advisor】未调用预期持续管理任务工具,"1. 当我打开我车门时，给我放首歌"
P0,13,上汽,"【上汽DNA】【通用】重复回复两次，应该是重复创建了两次任务","【上汽DNA】【通用】重复回复两次，应该是重复创建了两次任务"
P0,14,上汽,当advisor不支持创建时director需要拒绝用户,当advisor不支持创建时director需要拒绝用户
P0,15,上汽,【0608实车】【PP】【4.0.12】豆包车控用刮模式关闭失败,"主驾发出语音指令"关闭雨刮维修模式" 期望结果：语音播报成功，页面上的雨刮维修模式开关同步切换为关闭状态 实际结果：语音播报成功，实际未切换成功 ZXD版本…"
P1,1,上汽,【上汽DNA】【0630主线发版】【我们的故事】帮我查询一下这周的车辆充电报告TTS回复 账号未授权 无法查看,帮我查询一下这周的车辆充电报告
P1,2,上汽,【上汽DNA】【0623主线发版】【我们的故事】帮我查询一下这周的用车报告TTS回复 账号未授权 无法查看,帮我查询一下这周的用车报告
P1,3,上汽,【上汽DNA】【0630主线发版】【Aibot】询问上海天气无emoji天气,询问上海天气
P1,4,上汽,【上汽DNA】小孩蒙睡觉没有进行语音助手音量调节,然后呢 想对我家在后排的小孩蒙睡觉了
P1,5,上汽,【主线】【Director】任务拆分时没有遵循安全策略（车辆行驶中调节了座椅）,座椅调到最前 把座椅靠背位置调整平
P1,6,上汽,【主线】【动态示例】动态示例决策内容工具错误/示例歧义,见链接跳 Director评测-数据汇总版本 sheet=20260629-动态示例 BD列纯分项
P1,7,上汽,【上汽DNA】planner分不清途经点和目的地,帮我把图形点删掉吃不去了
P1,8,上汽,"【上汽DNA】【0629主线发版】【空调】我有点热，再给我讲个故事 温度反而调高了一度","我有点热，再给我讲个故事"
P1,9,上汽,【实车点检】【PP】【4.0.7】0424: 系统不识别语音意图,发出语音指令 ZXD: IS4PQD4007G04231 豆包版本: 202604211324
P1,10,上汽,【实车点检】【PP】【4.0.7】0424: 系统不识别语音图,发出语音指令 ZXD: IS4PQD4007G04231 豆包版本: 202604211324
P1,11,上汽,"【上汽DNA】【0626主线发版】【记忆】豆包设置中关闭记忆开关，q"你记得我喜欢的水果是什么吗"，豆包没有回复请打开记忆开关，而是回复的没有对应记忆",记得我喜欢的水果是什么吗
P1,12,上汽,"【上汽DNA】【0626主线发版】【豆包机器人】q"今天天气怎么样"，豆包机器人不展示天气动效",询问天气
P1,13,上汽,"【上汽DNA】【director】【动态advisor】创建长时任务时，没有结合context的人物方位信息推理","【上汽DNA】【director】【动态advisor】创建长时任务时，没有结合context的人物方位信息推理"
P1,14,上汽,【上汽DNA】【director】【销售QA】回答太啰嗦,你的 AI 空调和普通空调有什么区别?
P1,15,上汽,"【上汽DNA】【director】【车书QA】模型幻觉:车书Q,检索到车书answer,但是"部分回答内容无依据"或者"与query无关"","【上汽DNA】【director】【车书QA】模型幻觉:车书Q,检索到车书answer,但是"部分回答内容无依据"或者"与query无关""
P1,16,上汽,"【上汽DNA】【director】【车书QA】车书回答太啰嗦，没有总结","【上汽DNA】【director】【车书QA】车书回答太啰嗦，没有总结"
P1,17,上汽,"【主线】【记忆画像】已经生成了画像内容，查询纪念日回复不知道","1.使用脚本已经生成了长期记忆且提取出画像了 2.使用planner接口查询：你知道我的结婚纪念日是什么时候吗"
P1,18,上汽,"【上汽DNA】【director】q"打开雨刮维修模式"，偶现走到了车书",语音"打开雨刮维修模式"
P1,19,上汽,【上汽DNA】【0623主线发版】武汉这周末的天气 回复日期错误,武汉这周末的天气
P1,20,上汽,"【上汽DNA】【0623】【上汽演示】喊话:"豆包现在这个这个冬在我们副驾的是这个哪大众的这个商品啊你要你要记住他然后那个我觉得他今天这个呢穿的特别帅气你这个哪…"","喊话:"豆包现在这个这个冬在我们副驾的是这个哪大众的这个商品啊你要你要记住他然后那个我觉得他今天这个呢穿的特别帅气你这个哪…""
P1,21,上汽,"【上汽DNA】【0623】【上汽演示】喊话:"关闭副驾的常识任务"，实际删除任务失败，TTS回复包含代码内容","喊话:"关闭副驾的常识任务""
P1,22,上汽,"【上汽DNA】【0623】【上汽演示】喊话:"仪表上看好像我看到有三个红色的灯然后左面有一个右面还有两个你能不能看一下这些灯目前是什么状态呢"，实际识别不了仪表…","喊话:"仪表上看好像我看到有三个红色的灯然后左面有一个右面还有两个你能不能看一下这些灯目前是什么状态呢""
