序号,工具原名,中文名称,功能分类,功能说明,示例中使用的缩略名
1,vehicle_basic_control,车辆基础控制,车控,空调开关/温度/风量、车窗升降、座椅加热/通风/按摩/位置调节、阅读灯、后视镜折叠等车辆硬件控制,vehicle_basic_control
2,search_vehicle_status_info,车辆状态查询,车控,查询当前车辆状态（续航里程、电量、车速、车内外温度、档位等）,vehicle_status_search
3,search_weather,天气查询,信息查询,查询当前位置或目的地的天气情况（温度、晴雨、风力等）,weather_search
4,search_poi_qa,POI兴趣点搜索,导航,搜索沿途/附近的商家、餐厅、充电桩、花店等兴趣点（需导航中才可沿途搜索）,poi_search
5,route_planning_qa,路线规划,导航,发起导航、规划路线、获取多条候选路线供用户选择,route_planning
6,navi_basic_control,导航基础控制,导航,选择路线、添加途经点、取消导航、设置导航偏好等导航操作,navi_basic_control
7,vehicle_manual_qa,车辆说明书问答,信息查询,查询车辆使用说明书中的功能操作方法（如座椅按摩怎么调、天窗怎么开等）,vehicle_manual_qa
8,search_and_control_short_video,短视频搜索与控制,娱乐,搜索和播放短视频内容,无
9,search_and_control_music,音乐搜索与控制,娱乐,搜索、播放、暂停、切换音乐歌曲,music_search
10,search_user_memory,用户记忆搜索,记忆,查询用户的历史记忆（常去地点、喜好、社交关系、上次见面时间等）,user_memory_search
11,face_id_register,人脸注册,记忆,注册新乘客人脸识别、修改已注册的名字,face_id_register
12,operate_user_memory,用户记忆操作,记忆,存储/修改/删除用户记忆（如记住喜欢的餐厅、常去地址等）,user_memory_operate
13,web_search,网络搜索,信息查询,联网搜索外部信息（餐厅推荐、建筑历史、充电桩分布、新闻等）,web_search
14,goal_list_update,目标列表管理,目标管理,创建(add_goal)/删除(delete_goal)/更新持续目标和定时任务（沿途讲解、定时提醒、后排休息监控等）,goal_list_update
15,ai_broadcast_generate,AI播客生成,生成,根据用户指定主题自动生成AI播客音频内容,ai_broadcast_generate
16,search_and_control_broadcast,播客搜索与控制,娱乐,搜索已有播客节目并控制播放,无
17,recording_minutes,录音纪要,生成,开启/关闭车内录音并自动生成会议纪要文本,audio_record
18,image_generate,图像生成,生成,支持文生图(text_2_img)和图生图(img_2_img)两种模式,image_generate
19,search_visual_info,视觉信息查询,视觉,车外视觉问答——识别前方建筑、路况、物体等并返回信息,visual_qa
20,ambient_light_control,氛围灯控制,车控,调整全车氛围灯颜色（256色）、亮度（0%-100%）及律动等,ambient_light_control
21,auto_drive,智能驾驶,车控,设置巡航速度(30-130km/h)、跟车距离(1-5档)等智驾参数（仅主驾可操作）,auto_drive
22,car_log,用车报告,信息查询,查询通勤报告、用车日志、历史行驶数据等,car_log
23,car_care_qa,养车问答,信息查询,查询养车、保养周期、维修知识等相关问题,无
24,parking_fee_pay,停车费支付,信息查询,根据车牌号查询停车时长和费用并支付（仅在示例中出现 非正式23工具之一）,parking_fee_pay
